date,points,avg_cloud,max_irr,winner,rmse_lin,mae_lin,r2_lin,rmse_ann,mae_ann,r2_ann,rmse_lstm,mae_lstm,r2_lstm,rmse_rf,mae_rf,r2_rf,rmse_gbdt,mae_gbdt,r2_gbdt
2026-01-22,126,72.19047619047619,895.0,Random Forest,0.4389930121938438,0.2953905444455459,0.9885300641522969,0.465090247347378,0.356790824376846,0.9871258003510199,0.9591179067213419,0.7439430428308155,0.9452492877863304,0.3815892098111804,0.29374240256638134,0.9913336156546896,0.4620545136527065,0.3401743694210925,0.9872933166209081
2026-01-23,126,7.166666666666667,892.0,Random Forest,0.7915291336554987,0.48075204930038323,0.966915371171059,0.5389582573723773,0.4242521419290053,0.9846607997175492,1.1851640163446782,0.5700266661416918,0.9258263976121108,0.380620106418842,0.2692376855843246,0.9923497450165337,0.43334130333079024,0.29866781532881936,0.9900836321616763
2026-01-24,128,48.5390625,1081.0,Random Forest,1.5224927717137926,0.8624611522299546,0.8959341884927596,1.2105150244567935,0.7549475797586691,0.9342133207875032,2.514347538135815,1.486336611479521,0.7161765926938319,0.8397811404890154,0.4962774930160113,0.9683386206909151,1.052243999195033,0.6360289863672898,0.9502915167483335
2026-01-25,128,5.0625,897.0,Random Forest,0.6800348021521518,0.38108564500426,0.9720996193619699,0.4656485326455223,0.35058511115707647,0.9869182957195002,1.2438797604155514,0.6262478603031486,0.9066520784406634,0.3125087518294046,0.22990925462542494,0.9941078713800144,0.3352718232537724,0.2559759155499096,0.9932182470909543
2026-01-26,126,38.19047619047619,908.0,Random Forest,1.10411394137503,0.7922688197197897,0.8750754483771871,0.6430393008215455,0.4960606928194443,0.9576264309545,2.277734280535352,1.5267697433422482,0.4683496204477492,0.5111389071752723,0.36923006753311305,0.9732269473366852,0.6643181171549556,0.46426952121583853,0.9547756633593872
2026-01-27,128,4.40625,871.0,Linear Regression,0.38494147381360505,0.3230949739739383,0.9904974435147483,0.49200589125477634,0.42887168833565265,0.9844764281411602,0.6338282872237487,0.4974222906306386,0.9742371274355912,0.4156762638185241,0.3440218625411911,0.9889194452978946,0.3921695574858293,0.320038646713705,0.9901372322455712
2026-01-28,129,97.4186046511628,918.0,HistGBDT,0.9184445615990495,0.7992056855786391,0.9606112733225038,0.6701978819446914,0.5602618765908934,0.9790264401482507,0.6183551113713245,0.5023075147506803,0.9821457357645228,0.5183015557685473,0.4272149526940771,0.987456143628413,0.37968074987676037,0.2911456251038312,0.9932686339971203
2026-01-29,130,93.36923076923077,867.0,HistGBDT,0.9198695054666681,0.7926464899623046,0.9551074816562082,0.5870406804870564,0.4874028176550624,0.9817165595830796,0.6038510528327683,0.4816060996385721,0.980654445570019,0.49447692918045144,0.3909420241761589,0.9870278013041264,0.39671863820436,0.3087030841806239,0.9916499950270181
2026-01-30,126,34.61904761904762,879.0,Random Forest,1.4124569547091972,0.9172503007768424,0.8817637922545548,1.0113600605062258,0.5774341592135639,0.9393805980975696,2.1923431136545664,1.279638981489908,0.715149426381789,0.6726693217750838,0.39256251390944186,0.9731834260619624,0.7598648542219208,0.4587915081994477,0.9657805705170193
2026-01-31,128,84.3828125,928.0,Random Forest,1.3740832085251042,0.9087509886685128,0.8998588543668214,0.8992173132267395,0.5610559524237904,0.957113973401502,2.040627622571492,1.1255353184398265,0.77914155368807,0.7372798181274327,0.47357161979789797,0.9711695658506716,0.7499977024247476,0.49233044221905886,0.9701663523363147
2026-02-01,125,25.56,867.0,LSTM,1.2007806786032003,0.8682740937324067,0.9255122977352048,0.6851100021764495,0.4918309042278684,0.9757518945887564,0.3100429495129969,0.2563995903759003,0.9950340663239912,0.39085646064908147,0.2919459192172049,0.9921079144316048,0.3420483454228615,0.2652500963786734,0.9939558924552017
2026-02-02,129,40.18604651162791,887.0,ANN,0.9472073569468581,0.8004481809647359,0.9566384183034438,0.4530381313601248,0.353346965049553,0.9900806205224745,0.9968660284024531,0.5515247336136277,0.9519726545850843,0.4903540787046061,0.3740901418954596,0.988379238859385,0.49393402439178635,0.3554649074105065,0.9882089392451574
2026-02-03,127,16.755905511811022,931.0,Random Forest,1.1000303694841467,0.7783393473300875,0.94610384161602,0.8666649087880198,0.5991248390265338,0.9665457818309753,1.6677064374529347,0.9620274193418308,0.8761238582335547,0.5718353983730039,0.3743956499789798,0.9854356692805265,0.7175757889730796,0.49502483045338774,0.9770657778773538
2026-02-04,130,59.723076923076924,920.0,Random Forest,0.9110534637909414,0.6812073233342087,0.9440415209952663,0.6499890372522763,0.347109998689132,0.9715167043351974,1.447857211347138,0.7837289650366857,0.8586715352109417,0.4695056362836606,0.2838530021591919,0.9851385975652532,0.6041194147611498,0.38098959568214463,0.9753949778545477
2026-02-05,130,17.56923076923077,858.0,Random Forest,0.5902530438046589,0.5140574474632285,0.980619703536767,0.3993895632739419,0.26053977090788594,0.9911268592765313,0.4016393197627038,0.29722102051514837,0.9910266131421681,0.31228928504944337,0.19828962563903024,0.994575020362244,0.33034637313498266,0.23036237787562,0.9939295200124179
2026-02-06,129,26.41860465116279,887.0,Random Forest,0.9638021565046326,0.710062005922478,0.9491350477736628,0.6338210749115836,0.3471319071685783,0.9780023542038477,0.9482159113842985,0.43057401485590974,0.9507668831631365,0.3721692738571018,0.23952356620430235,0.9924155536479378,0.6844528704603208,0.34189799908938634,0.9743474849019449
2026-02-07,129,46.01550387596899,931.0,HistGBDT,1.7889315310722442,1.2684500248640387,0.8515356852836942,1.2441569283791933,0.7805718025906068,0.9281899936647361,2.448801440754251,1.3781301022573957,0.721809827045579,1.0377371597296952,0.603872900769508,0.9500415015092727,0.979268413000673,0.5635627405700748,0.9555124864996527
2026-02-08,131,92.81679389312977,975.0,HistGBDT,1.3677365647392632,0.9765076989873415,0.909230019801279,1.0766592065447966,0.7449148073548025,0.9437537150471237,2.040742992673644,1.3673236342240835,0.7979243642686641,0.9244041928549569,0.5767772207682957,0.9585369601378656,0.8629585234965963,0.5773111132511256,0.9638659058992698
2026-02-09,124,63.935483870967744,869.0,Random Forest,0.958495266723456,0.722268989924977,0.9603250672353231,0.6271234676707124,0.4143184750558366,0.983015906968186,1.0953508414142048,0.6075915927463962,0.948186521851488,0.5154532022841425,0.35910444309508344,0.9885260028306231,0.5388371952558803,0.3473731509018965,0.9874613324376137
2026-02-10,130,55.84615384615385,890.0,Random Forest,1.118258260200251,0.7949198266159234,0.9330908475994092,0.631849079514393,0.4223618585985922,0.9786386835929864,1.5012791064432087,0.6640566768682921,0.8794064223403824,0.42156066148879073,0.30732983280454285,0.9904912932643531,0.48138929167006234,0.29241629143556425,0.9876007861814965
2026-02-11,129,73.96124031007751,897.0,HistGBDT,0.7420599638919184,0.5517506819153483,0.9672486364631775,0.5162515316326353,0.36964483011133625,0.9841483640325505,0.5986714688304221,0.4558061932094338,0.9786828811548902,0.3928641772942802,0.2749460230626991,0.9908201360620231,0.3516571377877282,0.25726564025720616,0.9926448716144014
2026-02-12,129,39.06201550387597,861.0,Random Forest,0.8145896479781608,0.6735009253118578,0.9620273145445489,0.7502042701462862,0.5032021926448232,0.9677928272909049,0.8421151275413307,0.6564966837435731,0.9594177168689587,0.37271300259721735,0.2936781030679276,0.9920504485134112,0.4136842256108596,0.31333999709326193,0.9902066458385296
2026-02-13,128,58.84375,954.0,HistGBDT,1.4000996025889216,0.9364584582091198,0.9083554906106839,1.043289716421278,0.6824647051698896,0.9491139852861961,2.1699642591676276,1.2914133891314266,0.7798626432463591,0.781988973523373,0.5006089802197451,0.9714116003570911,0.777525246900351,0.48815797965462526,0.9717370437911579
2026-02-14,126,23.0,768.0,HistGBDT,0.8714787739815066,0.7515414663799443,0.9475216367141215,0.635788565366019,0.4598442515563903,0.9720686401588907,0.7543662521451109,0.42774209580534983,0.9606784022048505,0.37059094769561335,0.2900082078465593,0.9905102173069076,0.35782263674169895,0.2715704140835938,0.9911528726777263
2026-02-15,126,25.841269841269842,867.0,HistGBDT,0.8546536239132433,0.7581240434982621,0.9605414417724443,0.5504675403231593,0.3962112128180766,0.9836309164554287,0.36783903884343216,0.2770790099302928,0.9926906867610787,0.36279123721452855,0.2620860578429648,0.992889919579977,0.34973178062604493,0.23922122422656106,0.9933925918643232
2026-02-16,130,19.723076923076924,854.0,ANN,0.577828524919493,0.5142775447516281,0.9818610833051268,0.27320911403095555,0.21612067056435463,0.9959448795601566,0.30089804975391865,0.22228466562491195,0.9950812795855708,0.2767545159955281,0.20749642030419754,0.99583895105527,0.3311631511834083,0.26167145919159446,0.9940420424495527
2026-02-17,129,77.50387596899225,954.0,Random Forest,1.388155177286504,0.8842886283500156,0.891584841479602,0.9551078394087785,0.6317437070651509,0.948676201147627,2.1141349726045933,1.2724680328295213,0.7485339292773927,0.7718777756414705,0.484295943182227,0.9664794567738788,0.9327984056969906,0.5876756840407382,0.9510458442699765
2026-02-18,126,97.58730158730158,843.0,Random Forest,0.9964289761589018,0.7013448560436495,0.915753018771335,0.8272922431308577,0.5743218914000757,0.9419262920822414,1.9101406194627983,1.2977522971157045,0.690406145405206,0.6378657113578845,0.4317125024466175,0.9654760749053002,0.6748929105391569,0.47229272330217753,0.9613516120857433
2026-02-19,130,46.2,864.0,Random Forest,0.8303864252807548,0.6220493909494715,0.9641498076184277,0.5188760971746825,0.3301681483833973,0.9860022466047309,0.9301886050634456,0.48092908786626964,0.955014449570627,0.38014661710685965,0.2528114558458073,0.9924866560816596,0.4287512699335329,0.2581892814022711,0.9904425541198678
2026-02-20,129,86.69767441860465,952.0,Random Forest,0.9458945877972419,0.7151263733791143,0.9592354770533703,0.6322400326321171,0.44989691818863514,0.9817878647906217,1.1015340782825687,0.6571353514508684,0.9447168528851597,0.5081378833382555,0.3818057204234494,0.988235864134283,0.5507332661000854,0.37990029221610444,0.9861809081509315
2026-02-21,132,26.295454545454547,960.0,ANN,1.3474168320075945,0.9201668533262304,0.9057272415325442,0.9015937623109693,0.49940934243638613,0.9577910960239783,2.0534448288179115,0.9515407532074234,0.7810482825432877,0.9058079602463783,0.40298243507781145,0.9573955910950309,0.9244828637007539,0.47281961936130423,0.9556207448092237
2026-02-22,128,20.546875,928.0,Random Forest,1.3136745649120978,0.9627278631767408,0.9140890632776032,1.030403737918354,0.6776457016959491,0.94714479972599,1.742030888521528,0.9440050300005823,0.8489277927587686,0.7729873181566316,0.5085508164477492,0.9702547509552739,0.9788227134100815,0.6185118908984315,0.9523041109044268
2026-02-28,27,47.25925925925926,511.0,Random Forest,3.1513499211260125,1.3694628352494516,0.06481817387125777,2.4237052190295696,0.9364006290024284,0.44682518928478454,3.33026120289586,1.4389764737199855,-0.0443820423229242,0.8986918653739432,0.47897843328358053,0.9239455865795707,2.5227861751061154,0.9650222708467118,0.40067321899989783
2026-03-01,133,36.857142857142854,1017.0,HistGBDT,9.23697036383329,7.339564523016281,-5.872448924646869,7.803168086005935,6.124984511304544,-3.904495546721143,9.300786273677971,7.3574190342211185,-5.967737001611642,3.9553721282526624,2.7797713539474063,-0.2601641440869975,3.3752357821621666,2.5121725810765856,0.08238468465960513
2026-03-02,131,14.725190839694656,970.0,HistGBDT,0.787392834834461,0.5719878990114278,0.971958310057304,0.5579707941561923,0.46535691990601474,0.985918653003098,0.7454107714012995,0.6353548658476531,0.9748688365724157,0.4021563623520691,0.3162171301267423,0.992685053504403,0.3950935438220081,0.331343136991188,0.9929397328883486
